Test Case ID,Feature / Module,Test Scenario,Steps to Execute,Input Data,Expected Result
TC_001,Authentication,Verify valid login,"1. Navigate to login page 2. Enter username 3. Enter password 4. Click Login","Username: valid_user, Password: valid_pass","User is redirected to the dashboard, 'Login successful' message appears."
TC_002,Authentication,Verify invalid password,"1. Enter valid username 2. Enter incorrect password 3. Click Login","Username: valid_user, Password: wrong_pass","Login fails, error message 'Invalid password' is displayed."
TC_003,Authentication,Verify non-existent username,"1. Enter unregistered username 2. Enter password 3. Click Login","Username: ghost_user, Password: any_pass","Login fails, error message 'Account does not exist' is displayed."
TC_004,Authentication,Verify empty fields,"1. Leave username empty 2. Leave password empty 3. Click Login","Username: '', Password: ''","Validation error prompts user to fill required fields."
TC_005,Authentication,Verify SQL Injection protection on login,"1. Enter SQL injection payload in username 2. Enter password 3. Click Login","Username: ' OR 1=1 --, Password: any","System handles input safely, login fails without DB error."
TC_006,Authentication,Verify valid registration,"1. Navigate to Register 2. Enter details 3. Click Register","Username: new_user, Pass: pass123","Account is created, user is redirected to login or dashboard."
TC_007,Authentication,Verify registration with existing username,"1. Enter already registered username 2. Click Register","Username: existing_user","Registration fails, error 'Username already taken' appears."
TC_008,Authentication,Verify password mismatch on register,"1. Enter password 2. Enter different confirm password 3. Click Register","Pass: pass123, Confirm: pass456","Error 'Passwords do not match' is displayed."
TC_009,Authentication,Verify weak password rejection,"1. Enter password less than 6 chars 2. Click Register","Password: 123","Error 'Password must be at least 6 characters' appears."
TC_010,Authentication,Verify logout functionality,"1. Login 2. Click profile icon 3. Click Logout","None","User session ends, redirected to login page."
TC_011,Authentication,Verify back button after logout,"1. Logout 2. Click browser Back button","None","User is not allowed access to dashboard, forced to login."
TC_012,Authentication,Verify password reset with valid email,"1. Click 'Forgot Password' 2. Enter registered email 3. Submit","Email: valid@test.com","Password reset link is sent to email."
TC_013,Authentication,Verify password reset with invalid email,"1. Click 'Forgot Password' 2. Enter unregistered email 3. Submit","Email: invalid@test.com","Error 'Email not found' is displayed."
TC_014,Authentication,Verify concurrent logins,"1. Login on browser A 2. Login on browser B with same account","Valid credentials","System handles concurrent sessions correctly without crashing."
TC_015,Authentication,Verify session timeout,"1. Login 2. Leave system idle for session timeout duration","None","User is automatically logged out for security."
TC_016,Profile & Settings,Verify view profile,"1. Go to Settings/Profile page","None","User profile information (name, email) is displayed correctly."
TC_017,Profile & Settings,Verify update avatar,"1. Go to Profile 2. Upload new image 3. Save","Image file (.png/.jpg)","Avatar is updated across the application."
TC_018,Profile & Settings,Verify update name,"1. Enter new name 2. Click Save","Name: John Doe Updated","Profile name updates successfully."
TC_019,Profile & Settings,Verify update email format validation,"1. Enter invalid email format 2. Click Save","Email: johndoe_at_gmail.com","Error 'Invalid email format' is displayed."
TC_020,Profile & Settings,Verify change password successfully,"1. Enter old password 2. Enter new password 3. Save","Old: pass123, New: pass456","Password is changed, 'Password updated' success message shown."
TC_021,Profile & Settings,Verify change password with wrong old password,"1. Enter incorrect old password 2. Enter new password 3. Save","Old: wrong123, New: pass456","Error 'Incorrect old password' is displayed."
TC_022,Profile & Settings,Verify theme toggle,"1. Click Dark/Light mode toggle","None","Application theme switches instantly between dark and light."
